zeta,trade_off_alpha,trade_off_beta
-5.04,0.99999999990146649486430579469606725,9.1813068394950095846274141766762965e-22
-5.0266666666666666666666666666666667,0.99999999988704589253819232025511281,1.1233725048548444954740240015769321e-21
-5.0133333333333333333333333333333333,0.99999999987057065912519934615923003,1.3738949091969419460425866020623401e-21
-5.0,0.99999999985175401749939340942943033,1.679592071546263794301105426913399e-21
-4.9866666666666666666666666666666667,0.99999999983027769304010492930382369,2.0523641412172166021676485140522312e-21
-4.9733333333333333333333333333333333,0.99999999980577389135407028083566005,2.5067757458986957329572592980336721e-21
-4.96,0.99999999977782816291969042962743431,3.0604622216421771562301513833205582e-21
-4.9466666666666666666666666666666667,0.99999999974597109122446359497839926,3.7348145642302702864630424950657125e-21
-4.9333333333333333333333333333333333,0.99999999970967125008498823833728934,4.5557675342993262221118203178251049e-21
-4.92,0.99999999966832729226030939064867007,5.5547506298818268649114133140049804e-21
-4.9066666666666666666666666666666667,0.99999999962125323254413750518939595,6.7699905889386919490306309430181426e-21
-4.8933333333333333333333333333333333,0.9999999995676910122596548505390655,8.2473054784126721776630707526900333e-21
-4.88,0.99999999950676661621658123100664023,1.004261061184757559245404269275029e-20
-4.8666666666666666666666666666666667,0.99999999943749866426985265800916349,1.2223390952485899001611858900114616e-20
-4.8533333333333333333333333333333333,0.99999999935877923904721952368054502,1.4871244905499177700386771645800087e-20
-4.84,0.99999999926935815410939693891705871,1.8084791371418815885245903301216116e-20
-4.8266666666666666666666666666666667,0.99999999916782534352888392848233611,2.1983166195713383742194028890373462e-20
-4.8133333333333333333333333333333333,0.99999999905257689678738840668962022,2.6710829743514634132336520716388737e-20
-4.8,0.99999999892184815763051037193625657,3.2440329050390236707380073635132924e-20
-4.7866666666666666666666666666666667,0.99999999877360901898617389369612094,3.9381632294427566834568984776865119e-20
-4.7733333333333333333333333333333333,0.99999999860558818110329947052468727,4.7787330967556207616480036947511536e-20
-4.76,0.99999999841522986148176210539290206,5.7961877679718830843522674151623107e-20
-4.7466666666666666666666666666666667,0.99999999819965950903147262496107271,7.0272068235211613354865418695573422e-20
-4.7333333333333333333333333333333333,0.99999999795564555959977489836121976,8.5159607993102274343799163960116075e-20
-4.72,0.99999999767952267957775701022264451,1.0315846672121577413895694334306868e-19
-4.7066666666666666666666666666666667,0.99999999736727626487698618059614327,1.2490420484446191106601937954797729e-19
-4.6933333333333333333333333333333333,0.99999999701429762966692686773552242,1.5116801007835617539353401856921521e-19
-4.68,0.99999999661544925023953515033149682,1.8287460451795419220978075086080438e-19
-4.6666666666666666666666666666666667,0.99999999616496906071998688032056627,2.2113504794520959104721578483764803e-19
-4.6533333333333333333333333333333333,0.99999999565639756497886405314547458,2.6728368227922864285284288130426338e-19
-4.64,0.99999999508249682248753781449225367,3.2292227811987227814853124228839722e-19
-4.6266666666666666666666666666666667,0.99999999443508057411247311840254933,3.8998130718714991815834460812790083e-19
-4.6133333333333333333333333333333333,0.9999999937052236461353686835286003,4.7075045902056863374142410867444792e-19
-4.6,0.99999999288270103994793919047794332,5.6800013581739124094765352000764745e-19
-4.5866666666666666666666666666666667,0.99999999195615628040452399491604982,6.8504147005935475411278435660222998e-19
-4.5733333333333333333333333333333333,0.99999999091289420976068193567402424,8.2584022497679173386147732350174739e-19
-4.56,0.99999998973872987257635666358073619,9.9514406857973416535339516445782989e-19
-4.5466666666666666666666666666666667,0.99999998841782115718642683907841843,1.198634163400675305869580663872308e-18
-4.5333333333333333333333333333333333,0.99999998693230054647569942580652236,1.4431367400756044302196647822609069e-18
-4.52,0.99999998526277950941635036037000487,1.7367196543592976906000040772068893e-18
-4.5066666666666666666666666666666667,0.99999998338708912143724965143516515,2.0891169528723913996131456350269843e-18
-4.4933333333333333333333333333333333,0.99999998128069874006231604493273153,2.5119245835201706661374772192655985e-18
-4.48,0.99999997891627655272472857064566094,3.0189871098916539977997158508381556e-18
-4.4666666666666666666666666666666667,0.99999997626338411239513818656294783,3.6268262588847051337773417443469778e-18
-4.4533333333333333333333333333333333,0.99999997328777318596313330034033983,4.3552422296657337792486063504389437e-18
-4.44,0.99999996995243411829962292733897852,5.2275654424834840821843356459250966e-18
-4.4266666666666666666666666666666667,0.99999996621511705735091151391901825,6.2718766008289615895543738815432627e-18
-4.4133333333333333333333333333333333,0.9999999620292218720443479854921148,7.5215336993830263896137477286267924e-18
-4.4,0.99999995734297451579701159109240359,9.0162551104815375764471260381032567e-18
-4.3866666666666666666666666666666667,0.9999999520988798798037453697743102,1.0803310870853785182599628575696741e-17
-4.3733333333333333333333333333333333,0.99999994623311993589150121883570883,1.2938932963362714745838851925625699e-17
-4.36,0.99999993967408632847580067174173994,1.5490307766954586858462319811358843e-17
-4.3466666666666666666666666666666667,0.99999993234478164730776895706927057,1.853631764877351007072018209320007e-17
-4.3333333333333333333333333333333333,0.99999992415745952384822703532488325,2.2171640160938387385335606335701764e-17
-4.32,0.99999991501570758402458371976002457,2.6508376677116258048788215501667857e-17
-4.3066666666666666666666666666666667,0.99999990481276505132088086743684699,3.1679579607238109690775098296585744e-17
-4.2933333333333333333333333333333333,0.99999989343046836681647698211868951,3.7843096318825768188775639283923945e-17
-4.28,0.99999988073809568991198563149599072,4.518610476738107458242196153302871e-17
-4.2666666666666666666666666666666667,0.99999986658936584511962368514046495,5.3931570685931785141741978113393059e-17
-4.2533333333333333333333333333333333,0.99999985082779683795740810990830486,6.434033255323986674671450682539627e-17
-4.24,0.99999983327534869764566223795150501,7.6724586806389921186021617448370986e-17
-4.2266666666666666666666666666666667,0.99999981373715537757765876644144537,9.1452767357869545295597714951710818e-17
-4.2133333333333333333333333333333333,0.99999979199815554133343547841708717,1.0896077761545842954075748757817723e-16
-4.2,0.99999976782111330589282062767956977,1.2976411144820520456522216786884398e-16
-4.1866666666666666666666666666666667,0.99999974094445734418726677533343043,1.5447210829329306963065689600332859e-16
-4.1733333333333333333333333333333333,0.99999971107626502252984101079625581,1.8380842107785621988892052831471944e-16
-4.16,0.99999967790591866617319637373592487,2.1861655362259500622951738021757135e-16
-4.1466666666666666666666666666666667,0.99999964108052432985254269908601052,2.5990330003004661296675135030182616e-16
-4.1333333333333333333333333333333333,0.99999960021535913570778043914902132,3.0885288889990892946173274084197948e-16
-4.12,0.99999955488725398246021764074890895,3.6686195720850072065401432051686313e-16
-4.1066666666666666666666666666666667,0.99999950463097574237701453788776974,4.3557689933442709989055297948001717e-16
-4.0933333333333333333333333333333333,0.99999944893529257993338799788695347,5.1693764737140507303104399619391661e-16
-4.08,0.99999938723115159526408819479607148,6.1324112929159621283579748410433994e-16
-4.0666666666666666666666666666666667,0.99999931891640659452907639810532433,7.2715490884095823707377680945072583e-16
-4.0533333333333333333333333333333333,0.99999924330784076938774511900522458,8.6185421113040624126074410468203596e-16
-4.04,0.99999915966360799146786033849959902,1.0210614768994019378589039571537411e-15
-4.0266666666666666666666666666666667,0.9999990671704821776122351773081923,1.2091528489609904215410081153485304e-15
-4.0133333333333333333333333333333333,0.99999896493742114948514318426549455,1.4312706258886456770083941895023812e-15
-4.0,0.99999885197479855087147016978841326,1.6934877200284534758064499065611161e-15
-3.9866666666666666666666666666666667,0.99999872724060058579345225290560806,2.0028347174185198815648949073140057e-15
-3.9733333333333333333333333333333333,0.99999858955364937880897488810860336,2.3676606367055623467084515652114491e-15
-3.96,0.99999843763591284173721512309741325,2.7977254576698070698102098536979161e-15
-3.9466666666666666666666666666666667,0.99999827009046535686806269056477313,3.3044717800020244607033828560003262e-15
-3.9333333333333333333333333333333333,0.99999808539117133261814362076026493,3.9013087887370254710606914700904292e-15
-3.92,0.99999788187154708122926388180457349,4.6039430742449613574611623785960642e-15
-3.9066666666666666666666666666666667,0.99999765768540537205248441913894293,5.4308680066977553125334775246861093e-15
